wavelength,reflectance
300.0,35.00485838875738
301.0,34.88768583865198
302.0,34.891372137380614
303.0,34.83990840276184
304.0,34.773984817363925
305.0,34.585403525993414
306.0,34.56278451114354
307.0,34.44887192717092
308.0,34.51375248350518
309.0,34.56277238878422
310.0,34.3226831624757
311.0,34.20034888886426
312.0,34.2702898394366
313.0,34.27287123314399
314.0,34.14217083647865
315.0,34.01836915277029
316.0,33.957132299062245
317.0,34.260255294473126
318.0,33.96675807136564
319.0,34.137142294177295
320.0,34.03586355978464
321.0,34.092348542814435
322.0,34.088899059605595
323.0,33.957564401575155
324.0,34.00326584447589
325.0,33.89583925279941
326.0,34.15573959317055
327.0,34.22161327310468
328.0,34.0537775917507
329.0,34.06070679814147
330.0,34.205046516468286
331.0,34.13904214597654
332.0,34.143349626818384
333.0,34.1107297003056
334.0,34.35512414625309
335.0,34.38659379695358
336.0,34.52505275287894
337.0,34.57128223948354
338.0,34.60034238661977
339.0,34.58364829208393
340.0,34.67725401788993
341.0,34.933867447613025
342.0,35.04768814719019
343.0,35.013475167270194
344.0,35.13731385959159
345.0,35.24870588954172
346.0,35.41435638321085
347.0,35.46898289990461
348.0,35.42074874091288
349.0,35.428540306336345
350.0,35.48969703717278
351.0,35.871015603180076
352.0,35.88790194587123
353.0,35.95328311676733
354.0,36.085840301907716
355.0,36.15093260773613
356.0,36.431377578309
357.0,36.387951863541566
358.0,36.48567457194989
359.0,36.870440056467714
360.0,36.85233381159772
361.0,36.75203127610298
362.0,37.12682982079445
363.0,37.1637339780188
364.0,37.434670649106906
365.0,37.43262494382168
366.0,37.532926856965034
367.0,37.68148374109959
368.0,37.98816792384459
369.0,37.93118201043031
370.0,38.18695989169559
371.0,38.34527235618206
372.0,38.32073164517437
373.0,38.64638844708299
374.0,38.879589087646494
375.0,38.73158138163017
376.0,39.07133444638568
377.0,39.05609605388722
378.0,39.13801201895888
379.0,39.455011519869586
380.0,39.631265034517504
381.0,39.82188912196915
382.0,39.67629860272227
383.0,40.00694606246649
384.0,40.081750102194995
385.0,40.40181937999572
386.0,40.345015858293685
387.0,40.5088796581949
388.0,40.422302410029545
389.0,40.684478879684804
390.0,40.83828481572406
391.0,40.821495897676776
392.0,40.977372259283705
393.0,41.115139343939894
394.0,41.23676545640095
395.0,41.316879249897376
396.0,41.31622166838733
397.0,41.50122863012972
398.0,41.653517647574326
399.0,41.81099976215422
400.0,42.013485197923984
401.0,42.06719478063276
402.0,42.06268918129217
403.0,42.19956723424735
404.0,42.11102820516445
405.0,42.37592156469593
406.0,42.40840130773091
407.0,42.394948174047485
408.0,42.4756258678286
409.0,42.63188336291454
410.0,42.48723115320089
411.0,42.661500582790524
412.0,42.61301520865899
413.0,42.8672304190845
414.0,42.73752852893047
415.0,42.90382079531068
416.0,42.800139563813985
417.0,42.83929918921417
418.0,42.915843430818896
419.0,42.938118520120824
420.0,42.989178343965236
421.0,43.00969051873908
422.0,43.15819034039541
423.0,43.04295426383269
424.0,42.97838274489507
425.0,42.98832981391726
426.0,43.02381848800689
427.0,42.877305736082604
428.0,43.18669856192664
429.0,42.87025400316388
430.0,42.852112925048175
431.0,42.77139481536529
432.0,42.810057387824436
433.0,42.93638957588843
434.0,42.761892356275354
435.0,42.592017082230996
436.0,42.52285812355736
437.0,42.60851684305314
438.0,42.551029432801094
439.0,42.35094602728382
440.0,42.215437071567116
441.0,42.420628518135054
442.0,42.32125250167356
443.0,42.269949600854865
444.0,42.18206712230593
445.0,42.05147725191929
446.0,41.98094338062826
447.0,42.137699581591576
448.0,41.9730081394038
449.0,41.62751109096088
450.0,41.62987985709344
451.0,41.59193495234357
452.0,41.321626057339266
453.0,41.54034128306051
454.0,41.446081162763235
455.0,41.298342394425575
456.0,41.3431289400489
457.0,41.19255332434001
458.0,40.99073800175063
459.0,41.089532080491544
460.0,41.080286535170586
461.0,41.151290301698864
462.0,40.905781666727826
463.0,40.877723423352286
464.0,40.72334942865462
465.0,40.646587600186415
466.0,40.74768986167487
467.0,40.54927829222417
468.0,40.60404287232203
469.0,40.34671412858861
470.0,40.25645910401441
471.0,40.25746987874922
472.0,40.24113004011196
473.0,40.13945982458583
474.0,40.14583531412717
475.0,40.18785381611192
476.0,40.07831475677125
477.0,39.964034815465304
478.0,39.91161945128136
479.0,40.048700212189516
480.0,39.9698779721871
481.0,39.85419908524955
482.0,40.04830756324309
483.0,39.86187310605134
484.0,40.03225381131614
485.0,39.892476826664726
486.0,39.9591895249317
487.0,40.01225825542187
488.0,40.04578809994754
489.0,40.0670997527293
490.0,39.890603954226734
491.0,40.023775097497904
492.0,40.116097089816044
493.0,39.93830987138894
494.0,40.180409124151396
495.0,40.06193668506075
496.0,40.27110026497959
497.0,40.10321710200401
498.0,40.27853565440764
499.0,40.192657940884544
500.0,40.190964337866916
501.0,40.311728255193344
502.0,40.439399504963724
503.0,40.490486050284744
504.0,40.41718136334883
505.0,40.367622490434385
506.0,40.513167303490334
507.0,40.5711077242282
508.0,40.54431956676633
509.0,40.626579820358685
510.0,40.570269331952254
511.0,40.69415958320317
512.0,40.63357218993013
513.0,40.79142631068138
514.0,40.54032554376934
515.0,40.86900284530806
516.0,41.00022290567673
517.0,40.73839056968786
518.0,40.95447468948738
519.0,41.09065825313781
520.0,41.00402965088692
521.0,40.99606766160515
522.0,41.07464650263706
523.0,41.01455781208998
524.0,41.15225110823437
525.0,41.23483218182352
526.0,41.33979061775425
